iter	Passed	Remaining
576	28232	20697
577	28283	20650
578	28327	20597
579	28380	20551
580	28430	20503
581	28479	20454
582	28528	20405
583	28574	20354
584	28622	20304
585	28671	20256
586	28718	20205
587	28773	20161
588	28817	20108
589	28863	20057
590	28920	20014
591	28967	19963
592	29016	19915
593	29065	19866
594	29111	19815
595	29164	19769
596	29219	19724
597	29265	19673
598	29311	19622
599	29362	19575
600	29412	19526
601	29467	19481
602	29511	19429
603	29556	19378
604	29599	19325
605	29644	19273
606	29688	19222
607	29736	19172
608	29781	19120
609	29829	19071
610	29874	19020
611	29921	18969
612	29969	18920
613	30018	18871
614	30069	18824
615	30118	18775
616	30162	18723
617	30207	18672
618	30253	18621
619	30298	18570
620	30348	18521
621	30393	18470
622	30439	18420
623	30484	18368
624	30531	18319
625	30577	18268
626	30623	18217
627	30675	18170
628	30719	18119
629	30770	18071
630	30817	18021
631	30867	17973
632	30912	17922
633	30957	17871
634	31008	17823
635	31051	17771
636	31100	17722
637	31144	17671
638	31190	17621
639	31240	17572
640	31287	17523
641	31338	17475
642	31382	17423
643	31431	17374
644	31474	17323
645	31528	17277
646	31577	17228
647	31623	17178
648	31678	17133
649	31724	17082
650	31769	17031
651	31812	16979
652	31863	16931
653	31906	16880
654	31952	16829
655	32000	16780
656	32048	16731
657	32097	16682
658	32143	16632
659	32191	16583
660	32237	16533
661	32286	16484
662	32333	16434
663	32380	16385
664	32425	16334
665	32469	16283
666	32513	16232
667	32557	16181
668	32603	16131
669	32648	16080
670	32693	16029
671	32740	15980
672	32793	15933
673	32837	15882
674	32890	15836
675	32934	15785
676	32981	15735
677	33025	15684
678	33069	15633
679	33123	15587
680	33170	15538
681	33214	15487
682	33266	15440
683	33314	15390
684	33359	15340
685	33403	15289
686	33448	15239
687	33492	15188
688	33544	15141
689	33590	15091
690	33643	15044
691	33693	14996
692	33737	14945
693	33787	14897
694	33832	14847
695	33881	14799
696	33925	14748
697	33987	14705
698	34032	14654
699	34077	14604
700	34125	14555
701	34172	14506
702	34219	14456
703	34263	14406
704	34317	14359
705	34367	14311
706	34417	14263
707	34462	14213
708	34513	14165
709	34557	14115
710	34600	14064
711	34650	14016
712	34696	13966
713	34741	13916
714	34788	13866
715	34832	13816
716	34880	13767
717	34923	13716
718	34978	13670
719	35032	13623
720	35077	13573
721	35128	13525
722	35177	13477
723	35225	13428
724	35270	13378
725	35321	13330
726	35366	13280
727	35419	13233
728	35467	13184
729	35510	13133
730	35573	13090
731	35619	13041
732	35666	12991
733	35711	12941
734	35760	12893
735	35805	12843
736	35854	12794
737	35902	12745
738	35946	12695
739	35993	12646
740	36037	12596
741	36081	12545
742	36133	12498
743	36186	12451
744	36230	12400
745	36273	12350
746	36324	12302
747	36370	12253
748	36422	12205
749	36471	12157
750	36521	12108
751	36570	12060
752	36619	12012
753	36674	11965
754	36720	11916
755	36765	11866
756	36816	11818
757	36867	11770
758	36919	11722
759	36971	11675
760	37014	11624
761	37066	11577
762	37117	11529
763	37161	11479
764	37206	11429
765	37254	11380
766	37299	11330
767	37352	11283
768	37399	11234
769	37447	11185
770	37500	11138
771	37545	11088
772	37595	11040
773	37640	10990
774	37685	10940
775	37730	10891
776	37783	10843
777	37832	10795
778	37877	10745
779	37922	10696
780	37981	10650
781	38033	10602
782	38079	10553
783	38126	10504
784	38173	10455
785	38227	10407
786	38272	10358
